area_type,availability,location,size,hall_present,bath,balcony,total_sqft,price
Super built-up  Area,19-Dec,Electronic City Phase II,2,1,2,1,1056,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4,1,5,3,2600,120
Built-up  Area,Ready To Move,Uttarahalli,3,1,2,3,1440,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1,3,1,1521,95
Super built-up  Area,Ready To Move,Kothanur,2,1,2,1,1200,51
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1170,38
Super built-up  Area,18-May,Old Airport Road,4,1,4,2,2732,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4,1,4,2,3300,600
Super built-up  Area,Ready To Move,Marathahalli,3,1,3,1,1310,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6,1,6,2,1020,370
Super built-up  Area,18-Feb,Whitefield,3,1,2,2,1800,70
Plot  Area,Ready To Move,Whitefield,4,1,5,3,2785,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1000,38
Built-up  Area,Ready To Move,Gottigere,2,1,2,2,1100,40
Plot  Area,Ready To Move,Sarjapur,3,1,3,2,2250,148
Super built-up  Area,Ready To Move,Mysore Road,2,1,2,2,1175,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1,3,2,1180,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,3,1540,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3,1,4,2,2770,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2,1,2,2,1100,48
Built-up  Area,Ready To Move,Kengeri,1,1,1,1,600,15
Super built-up  Area,19-Dec,Binny Pete,3,1,3,1,1755,122
Plot  Area,Ready To Move,Thanisandra,4,1,5,2,2800,380
Super built-up  Area,Ready To Move,Bellandur,3,1,3,1,1767,103
Super built-up  Area,18-Nov, Thanisandra,1,0,1,0,510,25.25
Super built-up  Area,18-May,Mangammanapalya,3,1,3,2,1250,56
Super built-up  Area,Ready To Move,Electronic City,2,1,1,1,660,23.1
Built-up  Area,20-Dec,Whitefield,3,1,3,2,1610,81
Super built-up  Area,17-Oct,Ramagondanahalli,2,1,2,2,1151,48.77
Super built-up  Area,Ready To Move,Electronic City,3,1,2,1,1025,47
Super built-up  Area,19-Dec,Yelahanka,4,1,4,0,2475,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1,2,1,1075,35
Super built-up  Area,Ready To Move,Hebbal,3,1,2,2,1760,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,3,1693,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3,1,3,2,1925,125
Super built-up  Area,21-Dec,Kanakpura Road,2,1,2,1,700,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1,2,1,1070,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3,1,3,2,1724,125
Super built-up  Area,Ready To Move,Chikkalasandra,3,1,2,2,1290,56.12
